G_NUMBER	country	lineage	sublineage	isolation_date	new_id
G03735	Malawi	L4	L4.6.1.2	02-03-1996	G03735/02-03-1996/1
G03736	Malawi	L4	L4.6.1.2	22-01-1998	G03736/22-01-1998/1
G04459	Malawi	L4	L4.6.1.1	04-04-2005	G04459/04-04-2005/1
G04460	Malawi	L4	L4.6.1.2	13-06-2007	G04460/13-06-2007/1
G04462	Malawi	L4	L4.6.1.2	15-03-2004	G04462/15-03-2004/1
G04463	Malawi	L4	L4.6.1.2	03-02-2004	G04463/03-02-2004/1
G04464	Malawi	L4	L4.6.1.1	11-05-2004	G04464/11-05-2004/1
G04465	Malawi	L4	L4.6.1.2	15-09-1996	G04465/15-09-1996/1
G04466	Malawi	L4	L4.6.1.1	16-02-2000	G04466/16-02-2000/1
G04467	Malawi	L4	L4.6.1.1	21-03-2001	G04467/21-03-2001/1
G04469	Malawi	L4	L4.6.1.1	15-03-2001	G04469/15-03-2001/1
G04472	Malawi	L4	L4.6.1.2	06-11-2008	G04472/06-11-2008/1
G04473	Malawi	L4	L4.6.1.1	17-08-2005	G04473/17-08-2005/1
G04474	Malawi	L4	NA	20-03-2006	G04474/20-03-2006/1
G04475	Malawi	L4	L4.6.1.2	11-04-2006	G04475/11-04-2006/1
G04476	Malawi	L4	L4.6.1.1	31-08-2006	G04476/31-08-2006/1
G04477	Malawi	L4	L4.6.1.1	20-07-2005	G04477/20-07-2005/1
G04478	Malawi	L4	L4.3.4.2	26-09-2005	G04478/26-09-2005/1
G04479	Malawi	L4	L4.6.1.1	27-02-2006	G04479/27-02-2006/1
G04480	Malawi	L4	L4.6.1.2	17-10-2005	G04480/17-10-2005/1
G04481	Malawi	L4	L4.6.1.1	13-01-2004	G04481/13-01-2004/1
G05343	Malawi	L4	L4.1.2.1	26-08-1997	G05343/26-08-1997/1
G05344	Malawi	L4	L4.1.2	15-04-1998	G05344/15-04-1998/1
G05390	Malawi	L7	L4.3	26-10-2010	G05390/26-10-2010/1
G05391	Malawi	L7	L4.3	29-11-2010	G05391/29-11-2010/1
G05392	Malawi	L7	L4.3	03-08-2006	G05392/03-08-2006/1
G05393	Malawi	L7	L4.3	19-03-2008	G05393/19-03-2008/1
G05394	Malawi	L7	L4.3	01-12-2008	G05394/01-12-2008/1
G05395	Malawi	L4	L4.1.2.1	03-09-2009	G05395/03-09-2009/1
G05422	Malawi	L4	L4.1.2.1	06-07-2004	G05422/06-07-2004/1
G05423	Malawi	L4	L4.1.2	13-09-2004	G05423/13-09-2004/1
G05424	Malawi	L4	L4.1.2.1	17-02-1999	G05424/17-02-1999/1
G05426	Malawi	L4	L4.1.2	17-01-2001	G05426/17-01-2001/1
G05427	Malawi	L4	L4.1.2.1	03-10-2000	G05427/03-10-2000/1
G05428	Malawi	L4	L4.1.2.1	26-11-1996	G05428/26-11-1996/1
G05429	Malawi	L4	L4.1.2	17-02-2000	G05429/17-02-2000/1
G05431	Malawi	L7	L4.3	07-10-1999	G05431/07-10-1999/1
G05432	Malawi	L4	NA	02-02-2000	G05432/02-02-2000/1
G05433	Malawi	L4	L4.1.2	12-01-2000	G05433/12-01-2000/1
G05435	Malawi	L7	L4.3	17-06-1998	G05435/17-06-1998/1
G05438	Malawi	L4	L4.1.2	21-11-2000	G05438/21-11-2000/1
G05439	Malawi	L4	L4.1.2	05-08-1996	G05439/05-08-1996/1
G05440	Malawi	L4	L4.1.2	09-06-2005	G05440/09-06-2005/1
G05441	Malawi	L4	L4.1.2.1	12-09-2007	G05441/12-09-2007/1
G05442	Malawi	L4	L4.1.2.1	05-03-2008	G05442/05-03-2008/1
G05443	Malawi	L4	L4.1.2.1	07-08-2008	G05443/07-08-2008/1
G05444	Malawi	L4	L4.1.2.1	05-06-2008	G05444/05-06-2008/1
G05446	Malawi	L4	L4.1.2.1	02-04-2009	G05446/02-04-2009/1
G05447	Malawi	L4	L4.1.2	29-01-2001	G05447/29-01-2001/1
G05449	Malawi	L4	L4.1.2.1	27-01-2004	G05449/27-01-2004/1
G05450	Malawi	L4	L4.1.2	18-02-2000	G05450/18-02-2000/1
G05451	Malawi	L4	L4.1.2	28-11-2005	G05451/28-11-2005/1
G05452	Malawi	L4	L4.1.2	28-12-2005	G05452/28-12-2005/1
G05453	Malawi	L4	L4.1.2.1	06-04-1998	G05453/06-04-1998/1
G05454	Malawi	L4	L4.1.2	07-06-2002	G05454/07-06-2002/1
G05455	Malawi	L4	L4.1.2	06-11-1998	G05455/06-11-1998/1
G05456	Malawi	L4	L4.1.2.1	09-01-2001	G05456/09-01-2001/1
G05457	Malawi	L4	L4.1.2	21-05-1998	G05457/21-05-1998/1
G05459	Malawi	L4	L3.1.1	30-03-2006	G05459/30-03-2006/1
G05461	Malawi	L4	L4.1.2.1	14-11-2000	G05461/14-11-2000/1
G05463	Malawi	L4	L4.1.2	29-03-2005	G05463/29-03-2005/1
G05464	Malawi	L4	L4.1.2	25-03-2008	G05464/25-03-2008/1
G05465	Malawi	L4	NA	21-12-2009	G05465/21-12-2009/1
G05466	Malawi	L4	L4.1.2.1	25-02-2010	G05466/25-02-2010/1
G05467	Malawi	L4	L4.1.2	20-12-2002	G05467/20-12-2002/1
G05492	Malawi	L4	L4.1.2	06-11-2006	G05492/06-11-2006/1
G05494	Malawi	L4	L4.1.2.1	23-04-2000	G05494/23-04-2000/1
G05495	Malawi	L4	L4.1.2.1	13-02-1997	G05495/13-02-1997/1
G05496	Malawi	L4	L4.1.2	26-03-2001	G05496/26-03-2001/1
G05497	Malawi	L4	L4.1.2	03-06-2002	G05497/03-06-2002/1
G05663	Malawi	L4		15-09-1995	G05663/15-09-1995/1
G05664	Malawi	L4	L4.8	15-04-1996	G05664/15-04-1996/1
G05665	Malawi	L4	L4.8	15-04-1997	G05665/15-04-1997/1
G05666	Malawi	L4		18-02-1997	G05666/18-02-1997/1
G05667	Malawi	L4	L4.7	18-07-1997	G05667/18-07-1997/1
G05668	Malawi	L4	NA	14-08-1997	G05668/14-08-1997/1
G05669	Malawi	L4		03-02-1998	G05669/03-02-1998/1
G05670	Malawi	L4	L4.8	24-02-1998	G05670/24-02-1998/1
G05671	Malawi	L4		27-04-1998	G05671/27-04-1998/1
G05672	Malawi	L4		09-07-1998	G05672/09-07-1998/1
G05673	Malawi	L4		28-07-1998	G05673/28-07-1998/1
G05674	Malawi	L4		04-08-1998	G05674/04-08-1998/1
G05675	Malawi	L4		03-09-1998	G05675/03-09-1998/1
G05676	Malawi	L4		06-11-1998	G05676/06-11-1998/1
G05677	Malawi	L4	L4.7	05-04-1999	G05677/05-04-1999/1
