G_NUMBER	NAME_ALT2	GENOME_NAME	NAME_ORIGINAL	NAME_ALT1	N_NUMBER	PATIENT_ID	SEQ_MULTIPLE_LIBRARIES	PROVIDER	SEQ_FACILITY	PATH_ORIGINAL_FASTQS	LIBRARY_ID	PE_SE	DATE_SEQ	STATUS	FLAG_WARNING	WARNINGS	FASTQ_PATH	PATH_MAPPING_OUTPUT_V1	STATUS_MAPPING_V1	PATH_MAPPING_OUTPUT_V2	STATUS_MAPPING_V2	ANNEX_FILES	BIOPROJECT	SAMPLE_ACCESSION	RUN_ACCESSION	LINK_SRA	DATE_ISOLATION	COUNTRY_ISOLATION	COUNTRY_PATIENT_BIRTH	LINEAGE	SUBLINEAGE_GAGNEUX	SUBLINEAGE_COLL	GENOME_BASED_SPOLIGO	CONTACT_PERSON	COMMENTS	isolation_date	FQ.IN	NUMBER.READS	READ.TYPE	LNG	COVERAGE.MEAN	COVERAGE.SD	PERCENTAGE.NOT.COVERED	PERCENTAGE.LESS.5	NUMBER.ALL.VARIANTS	HOMO.SNPS	HET.SNPs	HOMO_HET.RATIO	NUMBER.INDELS	MAPPING.PERCENTAGE	DROPPED.TRIMMOMATIC	MEAN.READ.LENGHT	INSERT.SIZE.MEAN	PERCENTAGE.MTB	PERCENTAGE.NTMS	PERCENTAGE.UNCLASSIFIED	MERGING.OVERLAPPING.READS	LINAGE	LINEAGE_PROC	SUBLINEAGE	DR_STRINGENT_OUT	DR_EXTENDED_OUT	CM_OUT	KDV_OUT	PDM_OUT
G701174	ECF-08-W371	G701174	SAMEA14459824	ERX9333282	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786006_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786006_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459824	ERR9786006	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/006/ERR9786006/ERR9786006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/006/ERR9786006/ERR9786006_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	13-10-2014	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786006_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786006_2.fastq.gz	803431	PE	NA	54	16	0.008	0.013	1449	962	134	0.14	223	99.04%	0.13%	253	686	99.84	0.07	0.06	41.71%	L1 (3/4)	L1	L1.1.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701175	ECF-12-F175	G701175	SAMEA14459825	ERX9333283	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786007_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786007_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459825	ERR9786007	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/007/ERR9786007/ERR9786007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/007/ERR9786007/ERR9786007_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	08-06-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786007_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786007_2.fastq.gz	917713	PE	NA	57	17	0.007	0.011	1936	966	125	0.13	271	98.90%	0.17%	253	635	99.79	0.07	0.1	46.61%	L1 (3/4)	L1	L1.1.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	1
G701176	ECF-12-H120	G701176	SAMEA14459826	ERX9333284	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786008_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786008_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459826	ERR9786008	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/008/ERR9786008/ERR9786008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/008/ERR9786008/ERR9786008_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	19-04-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786008_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786008_2.fastq.gz	648810	PE	NA	41	14	0.011	0.021	1241	892	109	0.12	183	84.76%	0.15%	253	724	85.81	0.04	2.29	27.75%	L1 (3/4)	L1	L1.1.1.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701177	ECF-12-J165	G701177	SAMEA14459827	ERX9333285	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786009_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786009_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459827	ERR9786009	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786009/ERR9786009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/009/ERR9786009/ERR9786009_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	23-04-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786009_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786009_2.fastq.gz	1243933	PE	NA	76	21	0.007	0.016	4084	29	1992	68.69	1168	98.64%	0.06%	258	618	99.84	0.03	0.11	40.70%	L1 (3/4);L6 (3/3)	mixed	L1.1.1.1;L6.1.3	Susceptible|Susceptible	RIF-Mono|RIF-Mono	0	0	5
G701178	ECF-12-J262	G701178	SAMEA14459828	ERX9333286	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786010_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786010_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459828	ERR9786010	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/000/ERR9786010/ERR9786010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/000/ERR9786010/ERR9786010_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	12-11-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786010_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786010_2.fastq.gz	720799	PE	NA	46	15	0.009	0.017	1368	991	109	0.11	193	99.01%	0.14%	253	621	99.85	0.06	0.07	51.24%	L1 (3/4)	L1	L1.1.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701179	ECF-12-P112	G701179	SAMEA14459829	ERX9333287	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786011_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786011_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459829	ERR9786011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/001/ERR9786011/ERR9786011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/001/ERR9786011/ERR9786011_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	02-02-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786011_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786011_2.fastq.gz	525561	PE	NA	30	9	0.005	0.013	1324	908	117	0.13	215	98.96%	0.19%	253	809	99.73	0.09	0.12	50.60%	L1 (3/4)	L1	L1.2.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701180	ECF-12-P146	G701180	SAMEA14459830	ERX9333288	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786012_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786012_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459830	ERR9786012	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/002/ERR9786012/ERR9786012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/002/ERR9786012/ERR9786012_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	12-10-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786012_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786012_2.fastq.gz	1001177	PE	NA	64	22	0.007	0.013	1829	998	93	0.09	254	98.80%	0.16%	253	618	99.82	0.08	0.07	44.64%	L1 (3/4)	L1	L1.1.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701182	ECF-12-W189	G701182	SAMEA14459832	ERX9333290	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786014_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786014_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459832	ERR9786014	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/004/ERR9786014/ERR9786014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/004/ERR9786014/ERR9786014_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	09-11-2012	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786014_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786014_2.fastq.gz	427365	PE	NA	35	14	0.009	0.018	1935	932	265	0.28	323	99.04%	0.02%	253	737	99.78	0.04	0.16	12.27%	L1 (3/4)	L1	L1.1.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	1
G701185	ECF-13-1283	G701185	SAMEA14459835	ERX9333293	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786017_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786017_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459835	ERR9786017	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/007/ERR9786017/ERR9786017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/007/ERR9786017/ERR9786017_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	11-04-2013	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786017_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786017_2.fastq.gz	713291	PE	NA	47	14	0.009	0.017	1572	987	97	0.1	226	98.97%	0.14%	253	600	99.84	0.07	0.07	50.57%	L1 (3/4)	L1	L1.1.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
G701186	ECF-13-R189	G701186	SAMEA14459836	ERX9333294	NA	NA	NA	Bouke De Jong	downloaded from DB	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786018_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786018_2.fastq.gz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SAMEA14459836	ERR9786018	ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/008/ERR9786018/ERR9786018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR978/008/ERR9786018/ERR9786018_2.fastq.gz	NA	The Gambia	NA	NA	NA	NA	NA	Etthel Windels	NA	22-04-2013	/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786018_1.fastq.gz;/scicore/data/shared/genomes/tuberculosis/PRJEB53138_DeJong_TheGambia/ERR9786018_2.fastq.gz	408067	PE	NA	19	6	0.01	0.026	1303	931	174	0.19	160	99.06%	0.06%	253	714	99.79	0.09	0.06	76.25%	L1 (3/4)	L1	L1.1.1	Susceptible|Susceptible	Susceptible|Susceptible	0	0	0
